Target,Longitude,Latitude
DAND,-155.664418,19.35369
Halemaumau,-155.280972,19.40536
HOVE,-155.749057,19.164518
Hualalai,-155.864167,19.688933
Kapoho Crater,-154.839807,19.500912
KOSM,-155.316463,19.363322
Kulani,-155.30202,19.54894
Maunakea,-155.469346,19.822703
Mauna Ulu,-155.201533,19.367423
MLOD,-155.386023,19.493172
ML summit,-155.59097,19.472753
Napau Crater,-155.143171,19.374311
North Vent,-155.29014,19.40505
Pahala,-155.477263,19.202536
PLAD,-155.456467,19.529823
Puu Oo,-155.106042,19.388485
RCOD,-155.627597,19.402745
SHEEP,-155.44679,19.71445
